Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2021;47.385.107
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2021;23.222.953
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2020;23.255.590
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2019;23.042.428
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2021;24.162.154
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2020;24.195.205
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2019;23.983.780
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2021;41.944.959
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2020;42.016.642
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2019;41.989.330
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2021;20.497.801
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2020;20.535.713
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2019;20.522.283
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2021;21.447.158
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2020;21.480.929
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2019;21.467.047
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2021;5.440.148
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2020;5.434.153
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2019;5.036.878
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2021;2.725.152
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2020;2.719.877
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2019;2.520.145
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2021;2.714.996
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2020;2.714.276
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2019;2.516.733
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;11,48
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;11,45
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;10,71
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2021;11,73
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2020;11,70
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2019;10,94
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2021;11,24
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2020;11,22
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2019;10,49
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2021;7.183.373
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2020;7.320.973
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2019;7.364.092
TOTAL ESPAÑA;0-15 años;TOTAL;Hombres;2021;3.692.744
TOTAL ESPAÑA;0-15 años;TOTAL;Hombres;2020;3.764.324
TOTAL ESPAÑA;0-15 años;TOTAL;Hombres;2019;3.785.209
TOTAL ESPAÑA;0-15 años;TOTAL;Mujeres;2021;3.490.629
TOTAL ESPAÑA;0-15 años;TOTAL;Mujeres;2020;3.556.649
TOTAL ESPAÑA;0-15 años;TOTAL;Mujeres;2019;3.578.883
TOTAL ESPAÑA;0-15 años;Españoles;Ambos sexos;2021;6.366.354
TOTAL ESPAÑA;0-15 años;Españoles;Ambos sexos;2020;6.493.951
TOTAL ESPAÑA;0-15 años;Españoles;Ambos sexos;2019;6.589.009
TOTAL ESPAÑA;0-15 años;Españoles;Hombres;2021;3.272.369
TOTAL ESPAÑA;0-15 años;Españoles;Hombres;2020;3.338.410
TOTAL ESPAÑA;0-15 años;Españoles;Hombres;2019;3.386.006
TOTAL ESPAÑA;0-15 años;Españoles;Mujeres;2021;3.093.985
TOTAL ESPAÑA;0-15 años;Españoles;Mujeres;2020;3.155.541
TOTAL ESPAÑA;0-15 años;Españoles;Mujeres;2019;3.203.003
TOTAL ESPAÑA;0-15 años;Extranjeros;Ambos sexos;2021;817.019
TOTAL ESPAÑA;0-15 años;Extranjeros;Ambos sexos;2020;827.022
TOTAL ESPAÑA;0-15 años;Extranjeros;Ambos sexos;2019;775.083
TOTAL ESPAÑA;0-15 años;Extranjeros;Hombres;2021;420.375
TOTAL ESPAÑA;0-15 años;Extranjeros;Hombres;2020;425.914
TOTAL ESPAÑA;0-15 años;Extranjeros;Hombres;2019;399.203
TOTAL ESPAÑA;0-15 años;Extranjeros;Mujeres;2021;396.644
TOTAL ESPAÑA;0-15 años;Extranjeros;Mujeres;2020;401.108
TOTAL ESPAÑA;0-15 años;Extranjeros;Mujeres;2019;375.880
TOTAL ESPAÑA;0-15 años;% Extranjeros;Ambos sexos;2021;11,37
TOTAL ESPAÑA;0-15 años;% Extranjeros;Ambos sexos;2020;11,30
TOTAL ESPAÑA;0-15 años;% Extranjeros;Ambos sexos;2019;10,53
TOTAL ESPAÑA;0-15 años;% Extranjeros;Hombres;2021;11,38
TOTAL ESPAÑA;0-15 años;% Extranjeros;Hombres;2020;11,31
TOTAL ESPAÑA;0-15 años;% Extranjeros;Hombres;2019;10,55
TOTAL ESPAÑA;0-15 años;% Extranjeros;Mujeres;2021;11,36
TOTAL ESPAÑA;0-15 años;% Extranjeros;Mujeres;2020;11,28
TOTAL ESPAÑA;0-15 años;% Extranjeros;Mujeres;2019;10,50
TOTAL ESPAÑA;16-64 años;TOTAL;Ambos sexos;2021;30.890.906
TOTAL ESPAÑA;16-64 años;TOTAL;Ambos sexos;2020;30.911.441
TOTAL ESPAÑA;16-64 años;TOTAL;Ambos sexos;2019;30.604.923
TOTAL ESPAÑA;16-64 años;TOTAL;Hombres;2021;15.497.164
TOTAL ESPAÑA;16-64 años;TOTAL;Hombres;2020;15.503.734
TOTAL ESPAÑA;16-64 años;TOTAL;Hombres;2019;15.345.463
TOTAL ESPAÑA;16-64 años;TOTAL;Mujeres;2021;15.393.742
TOTAL ESPAÑA;16-64 años;TOTAL;Mujeres;2020;15.407.707
TOTAL ESPAÑA;16-64 años;TOTAL;Mujeres;2019;15.259.460
TOTAL ESPAÑA;16-64 años;Españoles;Ambos sexos;2021;26.651.738
TOTAL ESPAÑA;16-64 años;Españoles;Ambos sexos;2020;26.676.038
TOTAL ESPAÑA;16-64 años;Españoles;Ambos sexos;2019;26.687.026
TOTAL ESPAÑA;16-64 años;Españoles;Hombres;2021;13.371.711
TOTAL ESPAÑA;16-64 años;Españoles;Hombres;2020;13.383.065
TOTAL ESPAÑA;16-64 años;Españoles;Hombres;2019;13.386.114
TOTAL ESPAÑA;16-64 años;Españoles;Mujeres;2021;13.280.027
TOTAL ESPAÑA;16-64 años;Españoles;Mujeres;2020;13.292.973
TOTAL ESPAÑA;16-64 años;Españoles;Mujeres;2019;13.300.912
TOTAL ESPAÑA;16-64 años;Extranjeros;Ambos sexos;2021;4.239.168
TOTAL ESPAÑA;16-64 años;Extranjeros;Ambos sexos;2020;4.235.403
TOTAL ESPAÑA;16-64 años;Extranjeros;Ambos sexos;2019;3.917.897
TOTAL ESPAÑA;16-64 años;Extranjeros;Hombres;2021;2.125.453
TOTAL ESPAÑA;16-64 años;Extranjeros;Hombres;2020;2.120.669
TOTAL ESPAÑA;16-64 años;Extranjeros;Hombres;2019;1.959.349
TOTAL ESPAÑA;16-64 años;Extranjeros;Mujeres;2021;2.113.715
TOTAL ESPAÑA;16-64 años;Extranjeros;Mujeres;2020;2.114.734
TOTAL ESPAÑA;16-64 años;Extranjeros;Mujeres;2019;1.958.548
TOTAL ESPAÑA;16-64 años;% Extranjeros;Ambos sexos;2021;13,72
TOTAL ESPAÑA;16-64 años;% Extranjeros;Ambos sexos;2020;13,70
TOTAL ESPAÑA;16-64 años;% Extranjeros;Ambos sexos;2019;12,80
TOTAL ESPAÑA;16-64 años;% Extranjeros;Hombres;2021;13,72
TOTAL ESPAÑA;16-64 años;% Extranjeros;Hombres;2020;13,68
TOTAL ESPAÑA;16-64 años;% Extranjeros;Hombres;2019;12,77
TOTAL ESPAÑA;16-64 años;% Extranjeros;Mujeres;2021;13,73
TOTAL ESPAÑA;16-64 años;% Extranjeros;Mujeres;2020;13,73
TOTAL ESPAÑA;16-64 años;% Extranjeros;Mujeres;2019;12,83
TOTAL ESPAÑA;65 y más;TOTAL;Ambos sexos;2021;9.310.828
TOTAL ESPAÑA;65 y más;TOTAL;Ambos sexos;2020;9.218.381
TOTAL ESPAÑA;65 y más;TOTAL;Ambos sexos;2019;9.057.193
TOTAL ESPAÑA;65 y más;TOTAL;Hombres;2021;4.033.045
TOTAL ESPAÑA;65 y más;TOTAL;Hombres;2020;3.987.532
