Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.855.556
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2021(P);884.324
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2020;768.976
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2019;791.464
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.397.006
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.194.438
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.207.915
02 Albacete;C. - De las cuales: Industria manufacturera;2021(P);1.018.831
02 Albacete;C. - De las cuales: Industria manufacturera;2020;910.902
02 Albacete;C. - De las cuales: Industria manufacturera;2019;918.972
02 Albacete;F. Construcción;2021(P);465.911
02 Albacete;F. Construcción;2020;415.182
02 Albacete;F. Construcción;2019;497.842
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);1.559.382
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.341.669
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;1.646.811
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);1.440.261
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.392.792
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.389.258
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);2.091.603
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.055.063
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.153.181
02 Albacete;Valor añadido bruto total;2021(P);7.838.487
02 Albacete;Valor añadido bruto total;2020;7.168.120
02 Albacete;Valor añadido bruto total;2019;7.686.471
02 Albacete;Impuestos netos sobre los productos;2021(P);825.327
02 Albacete;Impuestos netos sobre los productos;2020;687.436
02 Albacete;Impuestos netos sobre los productos;2019;788.599
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.855.556
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);37.279.735
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;33.979.911
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;37.366.493
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2021(P);547.312
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2020;645.872
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2019;576.207
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);3.627.964
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.166.272
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;3.280.477
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2021(P);2.916.222
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2020;2.559.700
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2019;2.686.800
03 Alicante/Alacant;F. Construcción;2021(P);2.556.047
03 Alicante/Alacant;F. Construcción;2020;2.436.323
03 Alicante/Alacant;F. Construcción;2019;2.867.928
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);9.851.680
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;8.362.099
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;10.227.248
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);8.929.332
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;8.549.617
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;8.710.933
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);8.216.082
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;7.846.163
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;8.226.777
03 Alicante/Alacant;Valor añadido bruto total;2021(P);33.728.417
03 Alicante/Alacant;Valor añadido bruto total;2020;31.006.346
03 Alicante/Alacant;Valor añadido bruto total;2019;33.889.570
03 Alicante/Alacant;Impuestos netos sobre los productos;2021(P);3.551.318
03 Alicante/Alacant;Impuestos netos sobre los productos;2020;2.973.565
03 Alicante/Alacant;Impuestos netos sobre los productos;2019;3.476.923
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);37.279.735
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;33.979.911
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;37.366.493
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);15.659.622
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.607.070
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;15.813.933
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;2021(P);2.443.690
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;2020;2.519.276
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;2019;2.400.114
