,value,percentage,datetime
0,3668893.328,1,2019-01-01T00:00:00.000+01:00
1,3152278.091,1,2019-02-01T00:00:00.000+01:00
2,3216356.36,1,2019-03-01T00:00:00.000+01:00
3,3029639.973,1,2019-04-01T00:00:00.000+02:00
4,3154123.467,1,2019-05-01T00:00:00.000+02:00
5,3181997.313,1,2019-06-01T00:00:00.000+02:00
6,3676269.543,1,2019-07-01T00:00:00.000+02:00
7,3786647.665,1,2019-08-01T00:00:00.000+02:00
8,3261926.084,1,2019-09-01T00:00:00.000+02:00
9,3143205.713,1,2019-10-01T00:00:00.000+02:00
10,3215694.404,1,2019-11-01T00:00:00.000+01:00
11,3383670.228,1,2019-12-01T00:00:00.000+01:00
