,value,percentage,datetime
0,755349.344,1,2019-01-01T00:00:00.000+01:00
1,678572.401,1,2019-02-01T00:00:00.000+01:00
2,738613.341,1,2019-03-01T00:00:00.000+01:00
3,701144.535,1,2019-04-01T00:00:00.000+02:00
4,724435.551,1,2019-05-01T00:00:00.000+02:00
5,714689.013,1,2019-06-01T00:00:00.000+02:00
6,765155.245,1,2019-07-01T00:00:00.000+02:00
7,788634.096,1,2019-08-01T00:00:00.000+02:00
8,752661.657,1,2019-09-01T00:00:00.000+02:00
9,773780.358,1,2019-10-01T00:00:00.000+02:00
10,734424.275,1,2019-11-01T00:00:00.000+01:00
11,747518.318,1,2019-12-01T00:00:00.000+01:00
