,value,percentage,datetime
0,457953.307,1,2019-01-01T00:00:00.000+01:00
1,394740.895,1,2019-02-01T00:00:00.000+01:00
2,388246.938,1,2019-03-01T00:00:00.000+01:00
3,392573.28,1,2019-04-01T00:00:00.000+02:00
4,371863.619,1,2019-05-01T00:00:00.000+02:00
5,390596.367,1,2019-06-01T00:00:00.000+02:00
6,431889.831,1,2019-07-01T00:00:00.000+02:00
7,482287.397,1,2019-08-01T00:00:00.000+02:00
8,429437.981,1,2019-09-01T00:00:00.000+02:00
9,394986.126,1,2019-10-01T00:00:00.000+02:00
10,414780.995,1,2019-11-01T00:00:00.000+01:00
11,416962.301,1,2019-12-01T00:00:00.000+01:00
