,value,percentage,datetime
0,1831829.718,1,2019-01-01T00:00:00.000+01:00
1,1563729.72,1,2019-02-01T00:00:00.000+01:00
2,1570501.303,1,2019-03-01T00:00:00.000+01:00
3,1498887.102,1,2019-04-01T00:00:00.000+02:00
4,1455568.887,1,2019-05-01T00:00:00.000+02:00
5,1403979.936,1,2019-06-01T00:00:00.000+02:00
6,1459713.949,1,2019-07-01T00:00:00.000+02:00
7,1458252.716,1,2019-08-01T00:00:00.000+02:00
8,1437838.622,1,2019-09-01T00:00:00.000+02:00
9,1518709.899,1,2019-10-01T00:00:00.000+02:00
10,1611162.935,1,2019-11-01T00:00:00.000+01:00
11,1639128.236,1,2019-12-01T00:00:00.000+01:00
