,value,percentage,datetime
0,841665.36,1,2019-01-01T00:00:00.000+01:00
1,722984.391,1,2019-02-01T00:00:00.000+01:00
2,769206.22,1,2019-03-01T00:00:00.000+01:00
3,717397.568,1,2019-04-01T00:00:00.000+02:00
4,753933.437,1,2019-05-01T00:00:00.000+02:00
5,781848.129,1,2019-06-01T00:00:00.000+02:00
6,934973.704,1,2019-07-01T00:00:00.000+02:00
7,891511.529,1,2019-08-01T00:00:00.000+02:00
8,740195.578,1,2019-09-01T00:00:00.000+02:00
9,748991.037,1,2019-10-01T00:00:00.000+02:00
10,756543.658,1,2019-11-01T00:00:00.000+01:00
11,777171.494,1,2019-12-01T00:00:00.000+01:00
