,value,percentage,datetime
0,4180533.867,1,2020-01-01T00:00:00.000+01:00
1,3739391.844,1,2020-02-01T00:00:00.000+01:00
2,3655675.5,1,2020-03-01T00:00:00.000+01:00
3,2974661.857,1,2020-04-01T00:00:00.000+02:00
4,3196176.385,1,2020-05-01T00:00:00.000+02:00
5,3394330.06,1,2020-06-01T00:00:00.000+02:00
6,4124597.367,1,2020-07-01T00:00:00.000+02:00
7,3825701.263,1,2020-08-01T00:00:00.000+02:00
8,3636332.142,1,2020-09-01T00:00:00.000+02:00
9,3685266.366,1,2020-10-01T00:00:00.000+02:00
10,3661150.298,1,2020-11-01T00:00:00.000+01:00
11,3983099.447,1,2020-12-01T00:00:00.000+01:00
