,value,percentage,datetime
0,899098.143,1,2021-01-01T00:00:00.000+01:00
1,806734.845,1,2021-02-01T00:00:00.000+01:00
2,901481.249,1,2021-03-01T00:00:00.000+01:00
3,835504.911,1,2021-04-01T00:00:00.000+02:00
4,854555.031,1,2021-05-01T00:00:00.000+02:00
5,881086.419,1,2021-06-01T00:00:00.000+02:00
6,914403.06,1,2021-07-01T00:00:00.000+02:00
7,890945.768,1,2021-08-01T00:00:00.000+02:00
8,857223.626,1,2021-09-01T00:00:00.000+02:00
9,842280.712,1,2021-10-01T00:00:00.000+02:00
10,884111.867,1,2021-11-01T00:00:00.000+01:00
11,895918.585,1,2021-12-01T00:00:00.000+01:00
