,value,percentage,datetime
0,301323.586,1,2021-01-01T00:00:00.000+01:00
1,312051.981,1,2021-02-01T00:00:00.000+01:00
2,354118.186,1,2021-03-01T00:00:00.000+01:00
3,334415.536,1,2021-04-01T00:00:00.000+02:00
4,354486.889,1,2021-05-01T00:00:00.000+02:00
5,350482.439,1,2021-06-01T00:00:00.000+02:00
6,345632.751,1,2021-07-01T00:00:00.000+02:00
7,345589.824,1,2021-08-01T00:00:00.000+02:00
8,338863.197,1,2021-09-01T00:00:00.000+02:00
9,328646.412,1,2021-10-01T00:00:00.000+02:00
10,336095.262,1,2021-11-01T00:00:00.000+01:00
11,314925.718,1,2021-12-01T00:00:00.000+01:00
