,value,percentage,datetime
0,1064675.945,1,2021-01-01T00:00:00.000+01:00
1,916023.561,1,2021-02-01T00:00:00.000+01:00
2,1012109.007,1,2021-03-01T00:00:00.000+01:00
3,945621.257,1,2021-04-01T00:00:00.000+02:00
4,983773.982,1,2021-05-01T00:00:00.000+02:00
5,978293.68,1,2021-06-01T00:00:00.000+02:00
6,1138124.645,1,2021-07-01T00:00:00.000+02:00
7,1111553.19,1,2021-08-01T00:00:00.000+02:00
8,942787.008,1,2021-09-01T00:00:00.000+02:00
9,889166.115,1,2021-10-01T00:00:00.000+02:00
10,988074.665,1,2021-11-01T00:00:00.000+01:00
11,1048655.126,1,2021-12-01T00:00:00.000+01:00
