,value,percentage,datetime
0,2541784.95,1,2021-01-01T00:00:00.000+01:00
1,2020604.117,1,2021-02-01T00:00:00.000+01:00
2,2252014.427,1,2021-03-01T00:00:00.000+01:00
3,2051278.824,1,2021-04-01T00:00:00.000+02:00
4,2055062.999,1,2021-05-01T00:00:00.000+02:00
5,2166490.181,1,2021-06-01T00:00:00.000+02:00
6,2560090.745,1,2021-07-01T00:00:00.000+02:00
7,2405188.279,1,2021-08-01T00:00:00.000+02:00
8,2264075.528,1,2021-09-01T00:00:00.000+02:00
9,2082354.219,1,2021-10-01T00:00:00.000+02:00
10,2207275.169,1,2021-11-01T00:00:00.000+01:00
11,2263430.835,1,2021-12-01T00:00:00.000+01:00
