,value,percentage,datetime
0,470923.625,1,2021-01-01T00:00:00.000+01:00
1,361715.977,1,2021-02-01T00:00:00.000+01:00
2,410107.525,1,2021-03-01T00:00:00.000+01:00
3,378811.138,1,2021-04-01T00:00:00.000+02:00
4,380442.847,1,2021-05-01T00:00:00.000+02:00
5,459727.74,1,2021-06-01T00:00:00.000+02:00
6,601270.435,1,2021-07-01T00:00:00.000+02:00
7,632604.942,1,2021-08-01T00:00:00.000+02:00
8,544052.918,1,2021-09-01T00:00:00.000+02:00
9,444700.654,1,2021-10-01T00:00:00.000+02:00
10,408606.143,1,2021-11-01T00:00:00.000+01:00
11,435319.025,1,2021-12-01T00:00:00.000+01:00
