,value,percentage,datetime
0,18321.295,1,2021-01-01T00:00:00.000+01:00
1,15061.0,1,2021-02-01T00:00:00.000+01:00
2,16300.381,1,2021-03-01T00:00:00.000+01:00
3,15293.779,1,2021-04-01T00:00:00.000+02:00
4,16356.496,1,2021-05-01T00:00:00.000+02:00
5,16601.305,1,2021-06-01T00:00:00.000+02:00
6,19875.328,1,2021-07-01T00:00:00.000+02:00
7,20335.852,1,2021-08-01T00:00:00.000+02:00
8,18196.105,1,2021-09-01T00:00:00.000+02:00
9,16468.922,1,2021-10-01T00:00:00.000+02:00
10,15759.968,1,2021-11-01T00:00:00.000+01:00
11,16807.759,1,2021-12-01T00:00:00.000+01:00
