,value,percentage,datetime
0,1452389.83,1,2021-01-01T00:00:00.000+01:00
1,1331125.747,1,2021-02-01T00:00:00.000+01:00
2,1445981.843,1,2021-03-01T00:00:00.000+01:00
3,1298198.318,1,2021-04-01T00:00:00.000+02:00
4,1350193.26,1,2021-05-01T00:00:00.000+02:00
5,1325699.371,1,2021-06-01T00:00:00.000+02:00
6,1313327.347,1,2021-07-01T00:00:00.000+02:00
7,1032737.987,1,2021-08-01T00:00:00.000+02:00
8,1303370.899,1,2021-09-01T00:00:00.000+02:00
9,1328564.107,1,2021-10-01T00:00:00.000+02:00
10,1414374.753,1,2021-11-01T00:00:00.000+01:00
11,1278916.676,1,2021-12-01T00:00:00.000+01:00
