,value,percentage,datetime
0,867913.759,1,2021-01-01T00:00:00.000+01:00
1,754268.325,1,2021-02-01T00:00:00.000+01:00
2,808309.756,1,2021-03-01T00:00:00.000+01:00
3,768077.88,1,2021-04-01T00:00:00.000+02:00
4,776093.729,1,2021-05-01T00:00:00.000+02:00
5,729077.631,1,2021-06-01T00:00:00.000+02:00
6,754393.956,1,2021-07-01T00:00:00.000+02:00
7,720273.259,1,2021-08-01T00:00:00.000+02:00
8,725963.978,1,2021-09-01T00:00:00.000+02:00
9,750755.832,1,2021-10-01T00:00:00.000+02:00
10,783627.844,1,2021-11-01T00:00:00.000+01:00
11,805235.909,1,2021-12-01T00:00:00.000+01:00
