,value,percentage,datetime,type,magnitude
0,131495.03,0.14964129954808986,2019-01-01T00:00:00.000+01:00,Hidráulica,
1,221430.474,0.38912332910566433,2019-02-01T00:00:00.000+01:00,Hidráulica,
2,200132.786,0.2812927029106596,2019-03-01T00:00:00.000+01:00,Hidráulica,
3,178686.785,0.29161033746940535,2019-04-01T00:00:00.000+02:00,Hidráulica,
4,302077.376,0.3130918635375393,2019-05-01T00:00:00.000+02:00,Hidráulica,
5,266470.668,0.40763424594896525,2019-06-01T00:00:00.000+02:00,Hidráulica,
6,199161.329,0.32304950265720633,2019-07-01T00:00:00.000+02:00,Hidráulica,
7,156725.948,0.3430474067438626,2019-08-01T00:00:00.000+02:00,Hidráulica,
8,103073.651,0.20635006694087785,2019-09-01T00:00:00.000+02:00,Hidráulica,
9,130416.331,0.2526682499426283,2019-10-01T00:00:00.000+02:00,Hidráulica,
10,243630.788,0.28611166056097653,2019-11-01T00:00:00.000+01:00,Hidráulica,
11,413610.263,0.4299276935381387,2019-12-01T00:00:00.000+01:00,Hidráulica,
12,726757.534,0.8270498272377678,2019-01-01T00:00:00.000+01:00,Eólica,
13,318790.942,0.5602164435585806,2019-02-01T00:00:00.000+01:00,Eólica,
14,473986.275,0.6662020906324925,2019-03-01T00:00:00.000+01:00,Eólica,
15,402582.527,0.6570000493195733,2019-04-01T00:00:00.000+02:00,Eólica,
16,621420.445,0.6440789699039791,2019-05-01T00:00:00.000+02:00,Eólica,
17,347042.749,0.5308896110872173,2019-06-01T00:00:00.000+02:00,Eólica,
18,377958.303,0.6130670166863151,2019-07-01T00:00:00.000+02:00,Eólica,
19,263386.659,0.5765102173181944,2019-08-01T00:00:00.000+02:00,Eólica,
20,364672.339,0.7300620559577976,2019-09-01T00:00:00.000+02:00,Eólica,
21,359265.976,0.6960409384607692,2019-10-01T00:00:00.000+02:00,Eólica,
22,588284.062,0.690860671765247,2019-11-01T00:00:00.000+01:00,Eólica,
23,516315.277,0.536684545903338,2019-12-01T00:00:00.000+01:00,Eólica,
24,15605.837,0.017759437213829783,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,23485.877,0.04127210893838466,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,31154.675,0.04378884097008051,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,25724.805,0.041981946607773185,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,35460.804,0.03675379253459692,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,34797.633,0.05323177592200816,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,34472.594,0.0559162484148908,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,32966.806,0.07215893380289529,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,28060.968,0.05617713711553529,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,22121.294,0.042857735673045155,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,15347.695,0.018023807821174867,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,28925.543,0.03006669103452168,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,4876.483,0.005549436000312467,2019-01-01T00:00:00.000+01:00,Otras renovables,
37,5342.305,0.009388118397370348,2019-02-01T00:00:00.000+01:00,Otras renovables,
38,6201.478,0.00871636548676733,2019-03-01T00:00:00.000+01:00,Otras renovables,
39,5764.63,0.009407666603248014,2019-04-01T00:00:00.000+02:00,Otras renovables,
40,5861.644,0.00607537402388465,2019-05-01T00:00:00.000+02:00,Otras renovables,
41,5389.346,0.008244367041809164,2019-06-01T00:00:00.000+02:00,Otras renovables,
42,4911.831,0.007967232241587666,2019-07-01T00:00:00.000+02:00,Otras renovables,
43,3784.405,0.00828344213504778,2019-08-01T00:00:00.000+02:00,Otras renovables,
44,3701.729,0.007410739985789276,2019-09-01T00:00:00.000+02:00,Otras renovables,
45,4352.786,0.008433075923557253,2019-10-01T00:00:00.000+02:00,Otras renovables,
46,4260.904,0.005003859852601664,2019-11-01T00:00:00.000+01:00,Otras renovables,
47,3195.022,0.0033210695240016587,2019-12-01T00:00:00.000+01:00,Otras renovables,
48,878734.8840000001,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,
49,569049.598,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,
50,711475.214,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,
51,612758.7470000001,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,
52,964820.269,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,
53,653700.3960000001,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,
54,616504.057,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,
55,456863.81799999997,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,
56,499508.687,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,
57,516156.38700000005,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,
58,851523.449,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,
59,962046.105,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,
