,value,percentage,datetime
0,1221292.1190000002,1,2019-01-01T00:00:00.000+01:00
1,878234.1140000001,1,2019-02-01T00:00:00.000+01:00
2,997066.534,1,2019-03-01T00:00:00.000+01:00
3,1117099.237,1,2019-04-01T00:00:00.000+02:00
4,954119.547,1,2019-05-01T00:00:00.000+02:00
5,985165.953,1,2019-06-01T00:00:00.000+02:00
6,961758.776,1,2019-07-01T00:00:00.000+02:00
7,793318.061,1,2019-08-01T00:00:00.000+02:00
8,809747.0769999999,1,2019-09-01T00:00:00.000+02:00
9,783833.004,1,2019-10-01T00:00:00.000+02:00
10,1614129.1020000002,1,2019-11-01T00:00:00.000+01:00
11,999177.947,1,2019-12-01T00:00:00.000+01:00
