,value,percentage,datetime,type,magnitude
0,7255.261,0.21662825547449996,2019-01-01T00:00:00.000+01:00,Hidráulica,
1,7365.365,0.2144963579507908,2019-02-01T00:00:00.000+01:00,Hidráulica,
2,7916.29,0.20948837765147335,2019-03-01T00:00:00.000+01:00,Hidráulica,
3,9552.571,0.2552183379658802,2019-04-01T00:00:00.000+02:00,Hidráulica,
4,8793.242,0.22435467975469187,2019-05-01T00:00:00.000+02:00,Hidráulica,
5,9590.487,0.23341236662523543,2019-06-01T00:00:00.000+02:00,Hidráulica,
6,7660.623,0.20421736408067112,2019-07-01T00:00:00.000+02:00,Hidráulica,
7,6305.742,0.18585016141640828,2019-08-01T00:00:00.000+02:00,Hidráulica,
8,4911.483,0.14668785720942704,2019-09-01T00:00:00.000+02:00,Hidráulica,
9,4269.331,0.13452165128105947,2019-10-01T00:00:00.000+02:00,Hidráulica,
10,7635.876,0.2341696549900613,2019-11-01T00:00:00.000+01:00,Hidráulica,
11,15735.216,0.3751407205406644,2019-12-01T00:00:00.000+01:00,Hidráulica,
12,5146.445,0.15366303186687053,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,
13,6551.194,0.19078582707429614,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,
14,9032.505,0.23902671814433543,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,
15,7628.735,0.2038187486365858,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,
16,10747.47,0.27421572043885045,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,
17,10586.305,0.257648491037688,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,
18,10375.872,0.2766006406892026,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,
19,9774.529,0.2880862858676051,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,
20,8009.285,0.2392077615721373,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,
21,6472.266,0.20393356941643964,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,
22,3916.796,0.12011650896196481,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,
23,3434.892,0.08189070044283878,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,
24,13467.019,0.40209950164603936,2019-01-01T00:00:00.000+01:00,Otras renovables,
25,13264.394,0.38628964123628934,2019-02-01T00:00:00.000+01:00,Otras renovables,
26,14549.112,0.38501240721974345,2019-03-01T00:00:00.000+01:00,Otras renovables,
27,12888.082,0.3443339879502573,2019-04-01T00:00:00.000+02:00,Otras renovables,
28,13359.963,0.3408720265403286,2019-05-01T00:00:00.000+02:00,Otras renovables,
29,14537.617,0.3538151492266509,2019-06-01T00:00:00.000+02:00,Otras renovables,
30,12972.72,0.3458275760805099,2019-07-01T00:00:00.000+02:00,Otras renovables,
31,12817.951,0.37778555836531397,2019-08-01T00:00:00.000+02:00,Otras renovables,
32,12928.104,0.38611471800688757,2019-09-01T00:00:00.000+02:00,Otras renovables,
33,13460.339,0.42411961712100676,2019-10-01T00:00:00.000+02:00,Otras renovables,
34,13674.454,0.41935492081818293,2019-11-01T00:00:00.000+01:00,Otras renovables,
35,14651.851,0.34931239211425213,2019-12-01T00:00:00.000+01:00,Otras renovables,
36,7623.0325,0.22760921101259018,2019-01-01T00:00:00.000+01:00,Residuos renovables,
37,7156.996,0.2084281737386237,2019-02-01T00:00:00.000+01:00,Residuos renovables,
38,6290.7765,0.16647249698444774,2019-03-01T00:00:00.000+01:00,Residuos renovables,
39,7359.627,0.19662892544727667,2019-04-01T00:00:00.000+02:00,Residuos renovables,
40,6292.811,0.16055757326612893,2019-05-01T00:00:00.000+02:00,Residuos renovables,
41,6373.761,0.1551239931104257,2019-06-01T00:00:00.000+02:00,Residuos renovables,
42,6502.889,0.17335441914961636,2019-07-01T00:00:00.000+02:00,Residuos renovables,
43,5030.9495,0.14827799435067252,2019-08-01T00:00:00.000+02:00,Residuos renovables,
44,7633.6745,0.22798966321154818,2019-09-01T00:00:00.000+02:00,Residuos renovables,
45,7535.193,0.23742516218149412,2019-10-01T00:00:00.000+02:00,Residuos renovables,
46,7381.181,0.22635891522979096,2019-11-01T00:00:00.000+01:00,Residuos renovables,
47,8122.877,0.19365618690224465,2019-12-01T00:00:00.000+01:00,Residuos renovables,
48,33491.7575,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,
49,34337.949,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,
50,37788.6835,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,
51,37429.015,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,
52,39193.486000000004,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,
53,41088.17,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,
54,37512.104,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,
55,33929.171500000004,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,
56,33482.5465,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,
57,31737.129,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,
58,32608.307,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,
59,41944.836,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,
