,value,percentage,datetime,type,magnitude
0,18320.701,0.044080048296988104,2019-01-01T00:00:00.000+01:00,Hidráulica,
1,21351.778,0.08992419722404249,2019-02-01T00:00:00.000+01:00,Hidráulica,
2,21804.493,0.07884153196278025,2019-03-01T00:00:00.000+01:00,Hidráulica,
3,29005.118,0.08632085584252219,2019-04-01T00:00:00.000+02:00,Hidráulica,
4,39473.319,0.12442896454537636,2019-05-01T00:00:00.000+02:00,Hidráulica,
5,51540.401,0.18229501748831914,2019-06-01T00:00:00.000+02:00,Hidráulica,
6,56336.98,0.19957590220857382,2019-07-01T00:00:00.000+02:00,Hidráulica,
7,70128.962,0.2967825405998325,2019-08-01T00:00:00.000+02:00,Hidráulica,
8,54697.348,0.2303240799663847,2019-09-01T00:00:00.000+02:00,Hidráulica,
9,27930.567,0.11741634746925991,2019-10-01T00:00:00.000+02:00,Hidráulica,
10,20487.502,0.03922198086010405,2019-11-01T00:00:00.000+01:00,Hidráulica,
11,28001.972,0.09471866694434421,2019-12-01T00:00:00.000+01:00,Hidráulica,
12,358037.294,0.8614463612305516,2019-01-01T00:00:00.000+01:00,Eólica,
13,170729.445,0.7190365263319671,2019-02-01T00:00:00.000+01:00,Eólica,
14,192867.062,0.6973762074284654,2019-03-01T00:00:00.000+01:00,Eólica,
15,252950.784,0.7527957018108656,2019-04-01T00:00:00.000+02:00,Eólica,
16,205856.201,0.648906010048835,2019-05-01T00:00:00.000+02:00,Eólica,
17,154807.127,0.5475426534570704,2019-06-01T00:00:00.000+02:00,Eólica,
18,152783.902,0.5412428050739732,2019-07-01T00:00:00.000+02:00,Eólica,
19,97209.063,0.41138428209545114,2019-08-01T00:00:00.000+02:00,Eólica,
20,130044.86,0.5476035645065882,2019-09-01T00:00:00.000+02:00,Eólica,
21,157367.931,0.6615536185432441,2019-10-01T00:00:00.000+02:00,Eólica,
22,463240.942,0.8868444459817779,2019-11-01T00:00:00.000+01:00,Eólica,
23,237869.7,0.8046112213258079,2019-12-01T00:00:00.000+01:00,Eólica,
24,35173.584,0.08462849109857576,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,42619.58,0.1794947248667468,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,50852.62,0.18387487684859805,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,44136.794,0.1313535711947491,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,57935.211,0.18262508697198476,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,59246.63,0.2095514439628433,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,56759.575,0.20107296112784553,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,53498.639,0.22640377881328522,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,42037.245,0.1770138797030252,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,41396.32,0.17402456216047008,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,32449.509,0.06212245987420886,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,24855.435,0.08407528118097526,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,1424.297,0.0034268929201592925,2019-01-01T00:00:00.000+01:00,Solar térmica,
37,8108.496,0.029319014505591844,2019-03-01T00:00:00.000+01:00,Solar térmica,
38,7317.13,0.021776188737139233,2019-04-01T00:00:00.000+02:00,Solar térmica,
39,11669.313,0.036784353845337896,2019-05-01T00:00:00.000+02:00,Solar térmica,
40,14287.839,0.050535149316655266,2019-06-01T00:00:00.000+02:00,Solar térmica,
41,13452.321,0.04765536065962968,2019-07-01T00:00:00.000+02:00,Solar térmica,
42,11997.065,0.050771027103485855,2019-08-01T00:00:00.000+02:00,Solar térmica,
43,7310.304,0.030782827772099338,2019-09-01T00:00:00.000+02:00,Solar térmica,
44,7506.202,0.03155506374813135,2019-10-01T00:00:00.000+02:00,Solar térmica,
45,2967.638,0.0056813486014897,2019-11-01T00:00:00.000+01:00,Solar térmica,
46,1742.018,0.005892500097959265,2019-12-01T00:00:00.000+01:00,Solar térmica,
47,2667.557,0.0064182064537251435,2019-01-01T00:00:00.000+01:00,Otras renovables,
48,2741.161,0.011544551577243524,2019-02-01T00:00:00.000+01:00,Otras renovables,
49,2928.33,0.010588369254564566,2019-03-01T00:00:00.000+01:00,Otras renovables,
50,2605.355,0.007753682414723994,2019-04-01T00:00:00.000+02:00,Otras renovables,
51,2301.731,0.0072555845884657855,2019-05-01T00:00:00.000+02:00,Otras renovables,
52,2848.72,0.01007573577511212,2019-06-01T00:00:00.000+02:00,Otras renovables,
53,2950.701,0.010452970929977805,2019-07-01T00:00:00.000+02:00,Otras renovables,
54,3463.736,0.014658371387945275,2019-08-01T00:00:00.000+02:00,Otras renovables,
55,3390.18,0.014275648051902592,2019-09-01T00:00:00.000+02:00,Otras renovables,
56,3675.286,0.015450408078894582,2019-10-01T00:00:00.000+02:00,Otras renovables,
