,value,percentage,datetime,type,magnitude
0,805.427,0.04533923222717628,2019-01-01T00:00:00.000+01:00,Eólica,
1,499.329,0.02973096940701355,2019-02-01T00:00:00.000+01:00,Eólica,
2,702.388,0.03017164864265747,2019-03-01T00:00:00.000+01:00,Eólica,
3,639.471,0.025738667343509603,2019-04-01T00:00:00.000+02:00,Eólica,
4,653.721,0.024462591492747543,2019-05-01T00:00:00.000+02:00,Eólica,
5,349.853,0.012895049169209902,2019-06-01T00:00:00.000+02:00,Eólica,
6,230.366,0.008450826420397305,2019-07-01T00:00:00.000+02:00,Eólica,
7,347.945,0.013786171290855466,2019-08-01T00:00:00.000+02:00,Eólica,
8,513.735,0.021171133525076255,2019-09-01T00:00:00.000+02:00,Eólica,
9,402.117,0.016352655545162124,2019-10-01T00:00:00.000+02:00,Eólica,
10,495.183,0.023852853668990603,2019-11-01T00:00:00.000+01:00,Eólica,
11,445.285,0.029527804135934997,2019-12-01T00:00:00.000+01:00,Eólica,
12,7290.851,0.4104178114500015,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,
13,9353.207,0.556907191800326,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,
14,11382.342,0.4889377716512286,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,
15,10659.026,0.42902512298418505,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,
16,12928.163,0.4837788142352067,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,
17,13313.484,0.4907147596090053,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,
18,12487.767,0.4581055854395422,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,
19,12245.136,0.4851730657886182,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,
20,10047.868,0.4140748733692291,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,
21,9134.299,0.37145916535117607,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,
22,6297.325,0.30334072803605183,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,
23,5905.565,0.39161069120233766,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,
24,107.643,0.006059457870955327,2019-01-01T00:00:00.000+01:00,Otras renovables,
25,82.346,0.004903032683441054,2019-02-01T00:00:00.000+01:00,Otras renovables,
26,111.343,0.004782829255083246,2019-03-01T00:00:00.000+01:00,Otras renovables,
27,89.932,0.0036197573174334813,2019-04-01T00:00:00.000+02:00,Otras renovables,
28,54.2,0.002028193157183136,2019-05-01T00:00:00.000+02:00,Otras renovables,
29,125.517,0.004626365606616834,2019-06-01T00:00:00.000+02:00,Otras renovables,
30,98.985,0.0036312001476911833,2019-07-01T00:00:00.000+02:00,Otras renovables,
31,83.48,0.003307619248331243,2019-08-01T00:00:00.000+02:00,Otras renovables,
32,12.656,0.0005215565727337345,2019-09-01T00:00:00.000+02:00,Otras renovables,
33,99.426,0.004043298667386083,2019-10-01T00:00:00.000+02:00,Otras renovables,
34,92.592,0.00446013580215633,2019-11-01T00:00:00.000+01:00,Otras renovables,
35,181.247,0.012018877609229617,2019-12-01T00:00:00.000+01:00,Otras renovables,
36,9560.5395,0.5381834984518669,2019-01-01T00:00:00.000+01:00,Residuos renovables,
37,6860.0295,0.4084588061092195,2019-02-01T00:00:00.000+01:00,Residuos renovables,
38,11083.6625,0.47610775045103065,2019-03-01T00:00:00.000+01:00,Residuos renovables,
39,13456.3305,0.5416164523548719,2019-04-01T00:00:00.000+02:00,Residuos renovables,
40,13087.209,0.4897304011148626,2019-05-01T00:00:00.000+02:00,Residuos renovables,
41,13341.946,0.491763825615168,2019-06-01T00:00:00.000+02:00,Residuos renovables,
42,14442.4645,0.5298123879923693,2019-07-01T00:00:00.000+02:00,Residuos renovables,
43,12562.136,0.4977331436721951,2019-08-01T00:00:00.000+02:00,Residuos renovables,
44,13691.565,0.564232436532961,2019-09-01T00:00:00.000+02:00,Residuos renovables,
45,14954.476,0.6081448804362758,2019-10-01T00:00:00.000+02:00,Residuos renovables,
46,13874.806,0.6683462824928014,2019-11-01T00:00:00.000+01:00,Residuos renovables,
47,8548.0965,0.5668426270524977,2019-12-01T00:00:00.000+01:00,Residuos renovables,
48,17764.4605,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,
49,16794.9115,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,
50,23279.735500000003,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,
51,24844.7595,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,
52,26723.293,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,
53,27130.8,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,
54,27259.5825,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,
55,25238.697,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,
56,24265.824,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,
57,24590.318,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,
58,20759.906,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,
59,15080.1935,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,
