,value,percentage,datetime,type,magnitude
0,8005.688,0.04408718712640973,2019-01-01T00:00:00.000+01:00,Hidráulica,
1,16722.568,0.18322259965784268,2019-02-01T00:00:00.000+01:00,Hidráulica,
2,15352.383,0.11844453493522432,2019-03-01T00:00:00.000+01:00,Hidráulica,
3,15571.498,0.15013401377511448,2019-04-01T00:00:00.000+02:00,Hidráulica,
4,16386.249,0.11124110389334216,2019-05-01T00:00:00.000+02:00,Hidráulica,
5,10306.085,0.11656220339427782,2019-06-01T00:00:00.000+02:00,Hidráulica,
6,13356.338,0.16220339698947137,2019-07-01T00:00:00.000+02:00,Hidráulica,
7,13845.794,0.21527242683159004,2019-08-01T00:00:00.000+02:00,Hidráulica,
8,8761.225,0.09322668740918717,2019-09-01T00:00:00.000+02:00,Hidráulica,
9,6984.066,0.10243483272369489,2019-10-01T00:00:00.000+02:00,Hidráulica,
10,10643.731,0.09045994443507913,2019-11-01T00:00:00.000+01:00,Hidráulica,
11,16996.922,0.16026902992012196,2019-12-01T00:00:00.000+01:00,Hidráulica,
12,167080.341,0.9201085851473786,2019-01-01T00:00:00.000+01:00,Eólica,
13,63736.114,0.6983315301315338,2019-02-01T00:00:00.000+01:00,Eólica,
14,98768.905,0.7620078927672891,2019-03-01T00:00:00.000+01:00,Eólica,
15,75032.368,0.7234313982438594,2019-04-01T00:00:00.000+02:00,Eólica,
16,115167.173,0.7818338081397097,2019-05-01T00:00:00.000+02:00,Eólica,
17,62134.196,0.7027400600608208,2019-06-01T00:00:00.000+02:00,Eólica,
18,52807.43,0.6413093568224854,2019-07-01T00:00:00.000+02:00,Eólica,
19,34514.628,0.5366285047104954,2019-08-01T00:00:00.000+02:00,Eólica,
20,71583.71,0.7617099384800535,2019-09-01T00:00:00.000+02:00,Eólica,
21,50447.606,0.7399116906857505,2019-10-01T00:00:00.000+02:00,Eólica,
22,100897.291,0.8575154086015524,2019-11-01T00:00:00.000+01:00,Eólica,
23,82976.293,0.7824081316298215,2019-12-01T00:00:00.000+01:00,Eólica,
24,5848.36,0.032206818664755554,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,10222.013,0.1119985755534834,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,14660.418,0.1131059843912174,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,12413.572,0.11968658311784618,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,15144.664,0.10281237282881267,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,15976.569,0.180695587637858,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,15910.401,0.19322070837565522,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,15599.067,0.2425320649287842,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,13201.877,0.14047890110042122,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,10043.998,0.1473146523825986,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,5253.618,0.04464994393066976,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,5280.323,0.04978973515763079,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,653.245,0.0035974090614562452,2019-01-01T00:00:00.000+01:00,Otras renovables,
37,588.439,0.006447294657140057,2019-02-01T00:00:00.000+01:00,Otras renovables,
38,834.937,0.006441587906269104,2019-03-01T00:00:00.000+01:00,Otras renovables,
39,699.885,0.006748004863179895,2019-04-01T00:00:00.000+02:00,Otras renovables,
40,605.819,0.00411271513813568,2019-05-01T00:00:00.000+02:00,Otras renovables,
41,0.19,2.1489070432577247e-06,2019-06-01T00:00:00.000+02:00,Otras renovables,
42,268.977,0.0032665378123881736,2019-07-01T00:00:00.000+02:00,Otras renovables,
43,358.056,0.005567003529130348,2019-08-01T00:00:00.000+02:00,Otras renovables,
44,430.838,0.004584473010338096,2019-09-01T00:00:00.000+02:00,Otras renovables,
45,704.907,0.010338824207955882,2019-10-01T00:00:00.000+02:00,Otras renovables,
46,867.725,0.007374703032698688,2019-11-01T00:00:00.000+01:00,Otras renovables,
47,798.904,0.007533103292425836,2019-12-01T00:00:00.000+01:00,Otras renovables,
48,181587.63399999996,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,
49,91269.134,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,
50,129616.64300000001,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,
51,103717.323,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,
52,147303.90499999997,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,
53,88417.04000000001,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,
54,82343.146,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,
55,64317.545,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,
56,93977.65000000001,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,
57,68180.577,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,
58,117662.365,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,
59,106052.442,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,
