,value,percentage,datetime
0,554.477,1,2019-01-01T00:00:00.000+01:00
1,495.223,1,2019-02-01T00:00:00.000+01:00
2,544.995,1,2019-03-01T00:00:00.000+01:00
3,468.2355,1,2019-04-01T00:00:00.000+02:00
4,534.522,1,2019-05-01T00:00:00.000+02:00
5,462.2515,1,2019-06-01T00:00:00.000+02:00
6,434.284,1,2019-07-01T00:00:00.000+02:00
7,400.639,1,2019-08-01T00:00:00.000+02:00
8,376.446,1,2019-09-01T00:00:00.000+02:00
9,318.4345,1,2019-10-01T00:00:00.000+02:00
10,468.141,1,2019-11-01T00:00:00.000+01:00
11,419.723,1,2019-12-01T00:00:00.000+01:00
