,value,percentage,datetime
0,106055.1655,1,2019-01-01T00:00:00.000+01:00
1,115901.44849999998,1,2019-02-01T00:00:00.000+01:00
2,97332.20000000001,1,2019-03-01T00:00:00.000+01:00
3,87851.599,1,2019-04-01T00:00:00.000+02:00
4,63240.826499999996,1,2019-05-01T00:00:00.000+02:00
5,69763.6375,1,2019-06-01T00:00:00.000+02:00
6,77704.351,1,2019-07-01T00:00:00.000+02:00
7,76157.661,1,2019-08-01T00:00:00.000+02:00
8,76529.2,1,2019-09-01T00:00:00.000+02:00
9,84364.61750000001,1,2019-10-01T00:00:00.000+02:00
10,128343.5955,1,2019-11-01T00:00:00.000+01:00
11,133582.875,1,2019-12-01T00:00:00.000+01:00
