,value,percentage,datetime
0,329782.655,1,2019-01-01T00:00:00.000+01:00
1,345067.654,1,2019-02-01T00:00:00.000+01:00
2,287714.01499999996,1,2019-03-01T00:00:00.000+01:00
3,273142.51900000003,1,2019-04-01T00:00:00.000+02:00
4,213825.909,1,2019-05-01T00:00:00.000+02:00
5,135484.841,1,2019-06-01T00:00:00.000+02:00
6,132217.392,1,2019-07-01T00:00:00.000+02:00
7,106111.93299999999,1,2019-08-01T00:00:00.000+02:00
8,169505.791,1,2019-09-01T00:00:00.000+02:00
9,200742.718,1,2019-10-01T00:00:00.000+02:00
10,578225.626,1,2019-11-01T00:00:00.000+01:00
11,586422.486,1,2019-12-01T00:00:00.000+01:00
