,value,percentage,datetime
0,724594.7760000001,1,2020-01-01T00:00:00.000+01:00
1,790174.86,1,2020-02-01T00:00:00.000+01:00
2,1195159.667,1,2020-03-01T00:00:00.000+01:00
3,992207.841,1,2020-04-01T00:00:00.000+02:00
4,1143940.298,1,2020-05-01T00:00:00.000+02:00
5,992476.221,1,2020-06-01T00:00:00.000+02:00
6,1181003.9060000002,1,2020-07-01T00:00:00.000+02:00
7,1072131.176,1,2020-08-01T00:00:00.000+02:00
8,947110.716,1,2020-09-01T00:00:00.000+02:00
9,1207642.2000000002,1,2020-10-01T00:00:00.000+02:00
10,747341.508,1,2020-11-01T00:00:00.000+01:00
11,1339576.3280000002,1,2020-12-01T00:00:00.000+01:00
