,value,percentage,datetime,type,magnitude
0,304.314,0.003771183116782207,2020-01-01T00:00:00.000+01:00,Hidráulica,
1,267.69,0.0023103506479481054,2020-02-01T00:00:00.000+01:00,Hidráulica,
2,299.312,0.002467557291901709,2020-03-01T00:00:00.000+01:00,Hidráulica,
3,288.387,0.003627631404512506,2020-04-01T00:00:00.000+02:00,Hidráulica,
4,288.463,0.0029365972584564945,2020-05-01T00:00:00.000+02:00,Hidráulica,
5,272.333,0.002112537273755417,2020-06-01T00:00:00.000+02:00,Hidráulica,
6,290.301,0.0016135939939915037,2020-07-01T00:00:00.000+02:00,Hidráulica,
7,294.139,0.0014881731697493528,2020-08-01T00:00:00.000+02:00,Hidráulica,
8,291.651,0.002500562506744915,2020-09-01T00:00:00.000+02:00,Hidráulica,
9,299.756,0.002477419650024927,2020-10-01T00:00:00.000+02:00,Hidráulica,
10,285.276,0.003908368891681986,2020-11-01T00:00:00.000+01:00,Hidráulica,
11,299.581,0.003795017160874013,2020-12-01T00:00:00.000+01:00,Hidráulica,
12,824.55,0.010218159660557084,2020-01-01T00:00:00.000+01:00,Hidroeólica,
13,1338.515,0.01155231423489207,2020-02-01T00:00:00.000+01:00,Hidroeólica,
14,1823.614,0.015034051502492526,2020-03-01T00:00:00.000+01:00,Hidroeólica,
15,991.125,0.012467400319006951,2020-04-01T00:00:00.000+02:00,Hidroeólica,
16,1442.708,0.014686987092116676,2020-05-01T00:00:00.000+02:00,Hidroeólica,
17,742.628,0.005760702267203893,2020-06-01T00:00:00.000+02:00,Hidroeólica,
18,3652.422,0.02030143266031614,2020-07-01T00:00:00.000+02:00,Hidroeólica,
19,3575.741,0.018091180762063924,2020-08-01T00:00:00.000+02:00,Hidroeólica,
20,1911.898,0.016392264917729032,2020-09-01T00:00:00.000+02:00,Hidroeólica,
21,1456.723,0.012039506081090159,2020-10-01T00:00:00.000+02:00,Hidroeólica,
22,821.801,0.011258926315403846,2020-11-01T00:00:00.000+01:00,Hidroeólica,
23,958.502,0.012142063544524061,2020-12-01T00:00:00.000+01:00,Hidroeólica,
24,60189.521,0.7458930755811698,2020-01-01T00:00:00.000+01:00,Eólica,
