,value,percentage,datetime
0,2476264.743,1,2020-01-01T00:00:00.000+01:00
1,1897312.9949999999,1,2020-02-01T00:00:00.000+01:00
2,2027921.236,1,2020-03-01T00:00:00.000+01:00
3,1600589.3439999998,1,2020-04-01T00:00:00.000+02:00
4,1533834.4920000003,1,2020-05-01T00:00:00.000+02:00
5,1291259.032,1,2020-06-01T00:00:00.000+02:00
6,1464213.065,1,2020-07-01T00:00:00.000+02:00
7,1583826.243,1,2020-08-01T00:00:00.000+02:00
8,1519351.1069999998,1,2020-09-01T00:00:00.000+02:00
9,2117913.687,1,2020-10-01T00:00:00.000+02:00
10,1937631.618,1,2020-11-01T00:00:00.000+01:00
11,2696595.701,1,2020-12-01T00:00:00.000+01:00
