,value,percentage,datetime
0,654068.36,1,2020-01-01T00:00:00.000+01:00
1,695741.9595,1,2020-02-01T00:00:00.000+01:00
2,836415.9335,1,2020-03-01T00:00:00.000+01:00
3,829883.4895,1,2020-04-01T00:00:00.000+02:00
4,939315.1529999999,1,2020-05-01T00:00:00.000+02:00
5,840593.3070000001,1,2020-06-01T00:00:00.000+02:00
6,633122.1930000001,1,2020-07-01T00:00:00.000+02:00
7,506890.655,1,2020-08-01T00:00:00.000+02:00
8,511227.08300000004,1,2020-09-01T00:00:00.000+02:00
9,700080.3705000001,1,2020-10-01T00:00:00.000+02:00
10,513433.62950000004,1,2020-11-01T00:00:00.000+01:00
11,737942.1115,1,2020-12-01T00:00:00.000+01:00
