,value,percentage,datetime,type,magnitude
0,90353.729,0.4032418008504191,2020-01-01T00:00:00.000+01:00,Hidráulica,
1,60864.594,0.20684676782343694,2020-02-01T00:00:00.000+01:00,Hidráulica,
2,44749.996,0.13644730899324933,2020-03-01T00:00:00.000+01:00,Hidráulica,
3,67563.233,0.20734928552761145,2020-04-01T00:00:00.000+02:00,Hidráulica,
4,77545.154,0.13543145999625023,2020-05-01T00:00:00.000+02:00,Hidráulica,
5,159563.077,0.20691855467453468,2020-06-01T00:00:00.000+02:00,Hidráulica,
6,228071.039,0.2521821510046108,2020-07-01T00:00:00.000+02:00,Hidráulica,
7,177582.114,0.21311067370860054,2020-08-01T00:00:00.000+02:00,Hidráulica,
8,108363.01,0.19115516525312504,2020-09-01T00:00:00.000+02:00,Hidráulica,
9,74508.786,0.1632706722889579,2020-10-01T00:00:00.000+02:00,Hidráulica,
10,195736.08,0.5113581211940771,2020-11-01T00:00:00.000+01:00,Hidráulica,
11,185891.969,0.5225422079004678,2020-12-01T00:00:00.000+01:00,Hidráulica,
12,8964.814,0.04000928109617976,2020-01-01T00:00:00.000+01:00,Eólica,
13,7850.162,0.02667857501177725,2020-02-01T00:00:00.000+01:00,Eólica,
14,14959.167,0.04561202825427334,2020-03-01T00:00:00.000+01:00,Eólica,
15,7642.679,0.02345512433022381,2020-04-01T00:00:00.000+02:00,Eólica,
16,8452.054,0.014761386806803516,2020-05-01T00:00:00.000+02:00,Eólica,
17,7984.295,0.01035389146760509,2020-06-01T00:00:00.000+02:00,Eólica,
18,7193.698,0.00795419814489277,2020-07-01T00:00:00.000+02:00,Eólica,
19,8540.472,0.010249150101397255,2020-08-01T00:00:00.000+02:00,Eólica,
20,9301.274,0.016407689012464633,2020-09-01T00:00:00.000+02:00,Eólica,
21,11612.262,0.025445882631016416,2020-10-01T00:00:00.000+02:00,Eólica,
22,12432.325,0.03247929739920282,2020-11-01T00:00:00.000+01:00,Eólica,
23,11719.245,0.03294279032154701,2020-12-01T00:00:00.000+01:00,Eólica,
24,76825.802,0.3428676944839512,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,123561.479,0.4199205298015047,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,146070.506,0.4453838938216281,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,149785.591,0.4596869317396494,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,238551.294,0.4166262927328087,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,294616.152,0.3820529755490553,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,311051.707,0.34393533211779664,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,320601.082,0.38474320998750067,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,247783.772,0.437097012012703,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,229362.496,0.5026007123481172,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,135168.009,0.35312477458312286,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,116642.502,0.3278819997334835,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,29216.231,0.13038981050247345,2020-01-01T00:00:00.000+01:00,Solar térmica,
37,81318.692,0.27635949734306253,2020-02-01T00:00:00.000+01:00,Solar térmica,
38,98693.205,0.3009256635055141,2020-03-01T00:00:00.000+01:00,Solar térmica,
39,78392.442,0.24058376305741203,2020-04-01T00:00:00.000+02:00,Solar térmica,
40,223575.263,0.3904708769697669,2020-05-01T00:00:00.000+02:00,Solar térmica,
41,290880.773,0.3772090026301725,2020-06-01T00:00:00.000+02:00,Solar térmica,
42,333760.534,0.36904488072493735,2020-07-01T00:00:00.000+02:00,Solar térmica,
43,301869.388,0.36226389696364875,2020-08-01T00:00:00.000+02:00,Solar térmica,
44,177447.823,0.31302257042668236,2020-09-01T00:00:00.000+02:00,Solar térmica,
45,116974.163,0.2563248075662935,2020-10-01T00:00:00.000+02:00,Solar térmica,
46,24972.566,0.06524052403192651,2020-11-01T00:00:00.000+01:00,Solar térmica,
47,19370.897,0.05445157927932081,2020-12-01T00:00:00.000+01:00,Solar térmica,
48,18707.784,0.08349141306697652,2020-01-01T00:00:00.000+01:00,Otras renovables,
49,20654.747,0.07019463002021883,2020-02-01T00:00:00.000+01:00,Otras renovables,
50,23492.524,0.07163110542533516,2020-03-01T00:00:00.000+01:00,Otras renovables,
51,22458.668,0.06892489534510332,2020-04-01T00:00:00.000+02:00,Otras renovables,
52,24454.822,0.042709983494370524,2020-05-01T00:00:00.000+02:00,Otras renovables,
53,18095.233,0.023465575678632375,2020-06-01T00:00:00.000+02:00,Otras renovables,
54,24313.115,0.026883438007762432,2020-07-01T00:00:00.000+02:00,Otras renovables,
55,24692.818,0.02963306923885284,2020-08-01T00:00:00.000+02:00,Otras renovables,
56,23989.195,0.042317563295025125,2020-09-01T00:00:00.000+02:00,Otras renovables,
57,23893.608,0.05235792516561501,2020-10-01T00:00:00.000+02:00,Otras renovables,
58,14467.927,0.037797282791670606,2020-11-01T00:00:00.000+01:00,Otras renovables,
59,22120.753,0.06218142276518086,2020-12-01T00:00:00.000+01:00,Otras renovables,
60,224068.36,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,
61,294249.67399999994,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,
62,327965.398,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,
63,325842.61299999995,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,
64,572578.587,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,
65,771139.53,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,
66,904390.093,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,
67,833285.874,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,
68,566885.0739999999,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,
69,456351.315,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,
70,382776.907,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,
71,355745.36600000004,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,
