,value,percentage,datetime
0,15768.609,1,2020-01-01T00:00:00.000+01:00
1,15252.559000000001,1,2020-02-01T00:00:00.000+01:00
2,20300.178,1,2020-03-01T00:00:00.000+01:00
3,15900.262999999999,1,2020-04-01T00:00:00.000+02:00
4,18629.688,1,2020-05-01T00:00:00.000+02:00
5,26844.596,1,2020-06-01T00:00:00.000+02:00
6,23800.489500000003,1,2020-07-01T00:00:00.000+02:00
7,23149.466500000002,1,2020-08-01T00:00:00.000+02:00
8,25114.912,1,2020-09-01T00:00:00.000+02:00
9,16318.9065,1,2020-10-01T00:00:00.000+02:00
10,19991.338,1,2020-11-01T00:00:00.000+01:00
11,15668.2575,1,2020-12-01T00:00:00.000+01:00
