,value,percentage,datetime,type,magnitude
0,28102.136,0.3254401150353787,2020-01-01T00:00:00.000+01:00,Hidráulica,
1,20626.718,0.26896454133831715,2020-02-01T00:00:00.000+01:00,Hidráulica,
2,43269.083,0.43698234401923236,2020-03-01T00:00:00.000+01:00,Hidráulica,
3,31553.459,0.4558358242885003,2020-04-01T00:00:00.000+02:00,Hidráulica,
4,32859.594,0.48755698689442206,2020-05-01T00:00:00.000+02:00,Hidráulica,
5,19766.564,0.42621080704441716,2020-06-01T00:00:00.000+02:00,Hidráulica,
6,20146.987,0.35460514712510516,2020-07-01T00:00:00.000+02:00,Hidráulica,
7,19579.44,0.23731783804732398,2020-08-01T00:00:00.000+02:00,Hidráulica,
8,18843.992,0.2300294828244356,2020-09-01T00:00:00.000+02:00,Hidráulica,
9,27763.924,0.27978978542985156,2020-10-01T00:00:00.000+02:00,Hidráulica,
10,18616.329,0.20574764045634011,2020-11-01T00:00:00.000+01:00,Hidráulica,
11,70146.415,0.4870015912713746,2020-12-01T00:00:00.000+01:00,Hidráulica,
12,35451.032,0.4105448757419326,2020-01-01T00:00:00.000+01:00,Eólica,
13,29821.636,0.3888627676345915,2020-02-01T00:00:00.000+01:00,Eólica,
14,30042.367,0.3034033319251539,2020-03-01T00:00:00.000+01:00,Eólica,
15,27739.68,0.4007402135626153,2020-04-01T00:00:00.000+02:00,Eólica,
16,21614.26,0.32070339881718046,2020-05-01T00:00:00.000+02:00,Eólica,
17,14659.028,0.31608104242936247,2020-06-01T00:00:00.000+02:00,Eólica,
18,20468.598,0.36026579087158955,2020-07-01T00:00:00.000+02:00,Eólica,
19,20299.905,0.24605042673161553,2020-08-01T00:00:00.000+02:00,Eólica,
20,22061.707,0.2693082788102559,2020-09-01T00:00:00.000+02:00,Eólica,
21,31576.023,0.31820605401088325,2020-10-01T00:00:00.000+02:00,Eólica,
22,34348.888,0.3796238591560718,2020-11-01T00:00:00.000+01:00,Eólica,
23,38869.969,0.2698603593023108,2020-12-01T00:00:00.000+01:00,Eólica,
24,1749.26,0.020257512654083893,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,3238.95,0.04223467355144635,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,4201.527,0.042431985834321784,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,4889.968,0.07064273346463819,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,8248.578,0.12238896913466485,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,7529.327,0.16234893111272758,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,8825.827,0.15534251756035408,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,7543.771,0.09143629360411225,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,6519.957,0.07958941697425678,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,3856.352,0.038862226341708,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,3180.89,0.03515519155528287,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,1792.349,0.012443641134242671,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,5307.337,0.06146224485610353,2020-01-01T00:00:00.000+01:00,Otras renovables,
37,4788.501,0.06244022801703465,2020-02-01T00:00:00.000+01:00,Otras renovables,
38,4551.965,0.04597112297465387,2020-03-01T00:00:00.000+01:00,Otras renovables,
39,5037.997,0.07278122868424637,2020-04-01T00:00:00.000+02:00,Otras renovables,
40,4673.985,0.06935064515373274,2020-05-01T00:00:00.000+02:00,Otras renovables,
41,4422.516,0.09535921941349279,2020-06-01T00:00:00.000+02:00,Otras renovables,
42,4727.145,0.083202016669128,2020-07-01T00:00:00.000+02:00,Otras renovables,
43,4433.635,0.053739058568117754,2020-08-01T00:00:00.000+02:00,Otras renovables,
44,4045.68,0.04938580307575819,2020-09-01T00:00:00.000+02:00,Otras renovables,
45,4538.752,0.0457390838629046,2020-10-01T00:00:00.000+02:00,Otras renovables,
46,4563.516,0.050435972053607094,2020-11-01T00:00:00.000+01:00,Otras renovables,
47,4706.341,0.03267445037733878,2020-12-01T00:00:00.000+01:00,Otras renovables,
48,15741.409,0.18229525171250133,2020-01-01T00:00:00.000+01:00,Residuos renovables,
49,18213.553,0.23749778945861044,2020-02-01T00:00:00.000+01:00,Residuos renovables,
50,16952.9785,0.17121121524663813,2020-03-01T00:00:00.000+01:00,Residuos renovables,
51,2646.7125,0.0465845277738232,2020-07-01T00:00:00.000+02:00,Residuos renovables,
52,30646.276,0.37145638304883044,2020-08-01T00:00:00.000+02:00,Residuos renovables,
53,30448.563,0.3716870183152936,2020-09-01T00:00:00.000+02:00,Residuos renovables,
54,31496.32,0.31740285035465243,2020-10-01T00:00:00.000+02:00,Residuos renovables,
55,29771.75,0.32903733677869806,2020-11-01T00:00:00.000+01:00,Residuos renovables,
56,28522.2685,0.19801995791473312,2020-12-01T00:00:00.000+01:00,Residuos renovables,
57,86351.174,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,
58,76689.358,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,
59,99017.9205,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,
60,69221.10399999999,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,
61,67396.41699999999,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,
62,46377.435,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,
63,56815.2695,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,
64,82503.027,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,
65,81919.89899999999,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,
66,99231.37100000001,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,
67,90481.373,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,
68,144037.3425,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,
