,value,percentage,datetime,type,magnitude
0,190280.637,0.5367360977297368,2020-01-01T00:00:00.000+01:00,Hidráulica,
1,126445.453,0.44038689935845277,2020-02-01T00:00:00.000+01:00,Hidráulica,
2,195848.533,0.6106800321855266,2020-03-01T00:00:00.000+01:00,Hidráulica,
3,147484.777,0.6286872642661637,2020-04-01T00:00:00.000+02:00,Hidráulica,
4,134693.323,0.5910295503140468,2020-05-01T00:00:00.000+02:00,Hidráulica,
5,86707.293,0.5253048251987413,2020-06-01T00:00:00.000+02:00,Hidráulica,
6,39569.243,0.354540734494686,2020-07-01T00:00:00.000+02:00,Hidráulica,
7,34727.331,0.3250382981262877,2020-08-01T00:00:00.000+02:00,Hidráulica,
8,44470.51,0.3492386672586458,2020-09-01T00:00:00.000+02:00,Hidráulica,
9,139330.079,0.4642501327517054,2020-10-01T00:00:00.000+02:00,Hidráulica,
10,79234.341,0.40818744114950417,2020-11-01T00:00:00.000+01:00,Hidráulica,
11,280595.655,0.575439970146877,2020-12-01T00:00:00.000+01:00,Hidráulica,
12,141669.013,0.39961435070686335,2020-01-01T00:00:00.000+01:00,Eólica,
13,138652.84,0.48290304511656623,2020-02-01T00:00:00.000+01:00,Eólica,
14,107862.807,0.336329618820179,2020-03-01T00:00:00.000+01:00,Eólica,
15,63562.957,0.2709514999300423,2020-04-01T00:00:00.000+02:00,Eólica,
16,68870.676,0.3022020970267726,2020-05-01T00:00:00.000+02:00,Eólica,
17,58331.999,0.3533968075579081,2020-06-01T00:00:00.000+02:00,Eólica,
18,48139.368,0.43132912319879313,2020-07-01T00:00:00.000+02:00,Eólica,
19,51110.9,0.47838401262978947,2020-08-01T00:00:00.000+02:00,Eólica,
20,60578.363,0.475737893692482,2020-09-01T00:00:00.000+02:00,Eólica,
21,139866.828,0.46603858931681186,2020-10-01T00:00:00.000+02:00,Eólica,
22,91408.339,0.47090359464384807,2020-11-01T00:00:00.000+01:00,Eólica,
23,182983.836,0.37525959953015314,2020-12-01T00:00:00.000+01:00,Eólica,
24,25.78,7.27192047369098e-05,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,27.041,9.417896700130389e-05,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,46.49,0.00014496158976235544,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,41.164,0.0001754708728091467,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,68.827,0.00030201044827934715,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,54.206,0.00032839998078042833,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,62.05,0.000555968497436134,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,50.96,0.0004769716299970079,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,53.227,0.0004180056973076301,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,33.583,0.00011189911266899175,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,28.881,0.00014878474836862505,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,14.675,3.009519716869963e-05,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,22538.898,0.06357683235866281,2020-01-01T00:00:00.000+01:00,Otras renovables,
37,21998.223,0.07661587655797954,2020-02-01T00:00:00.000+01:00,Otras renovables,
38,16947.814,0.05284538740453224,2020-03-01T00:00:00.000+01:00,Otras renovables,
39,23502.743,0.10018576493098491,2020-04-01T00:00:00.000+02:00,Otras renovables,
40,24263.263,0.1064663422109012,2020-05-01T00:00:00.000+02:00,Otras renovables,
41,19967.413,0.1209699672625701,2020-06-01T00:00:00.000+02:00,Otras renovables,
42,23836.382,0.2135741738090848,2020-07-01T00:00:00.000+02:00,Otras renovables,
43,20951.545,0.1961007176139258,2020-08-01T00:00:00.000+02:00,Otras renovables,
44,22233.485,0.1746054333515647,2020-09-01T00:00:00.000+02:00,Otras renovables,
45,20888.065,0.06959937881881378,2020-10-01T00:00:00.000+02:00,Otras renovables,
46,23441.077,0.12076017945827928,2020-11-01T00:00:00.000+01:00,Otras renovables,
47,24025.168,0.04927033512580123,2020-12-01T00:00:00.000+01:00,Otras renovables,
48,354514.32800000004,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,
49,287123.55700000003,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,
50,320705.644,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,
51,234591.64099999997,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,
52,227896.089,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,
53,165060.91100000002,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,
54,111607.043,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,
55,106840.736,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,
56,127335.58499999999,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,
57,300118.555,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,
58,194112.63799999998,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,
59,487619.33400000003,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,
