,value,percentage,datetime
0,150979.51999999996,1,2020-01-01T00:00:00.000+01:00
1,182066.872,1,2020-02-01T00:00:00.000+01:00
2,199928.508,1,2020-03-01T00:00:00.000+01:00
3,178452.893,1,2020-04-01T00:00:00.000+02:00
4,235323.165,1,2020-05-01T00:00:00.000+02:00
5,239738.951,1,2020-06-01T00:00:00.000+02:00
6,250482.377,1,2020-07-01T00:00:00.000+02:00
7,241923.83299999998,1,2020-08-01T00:00:00.000+02:00
8,212474.114,1,2020-09-01T00:00:00.000+02:00
9,220746.31300000002,1,2020-10-01T00:00:00.000+02:00
10,148955.905,1,2020-11-01T00:00:00.000+01:00
11,199284.685,1,2020-12-01T00:00:00.000+01:00
