,value,percentage,datetime
0,99992.495,1,2021-01-01T00:00:00.000+01:00
1,78996.373,1,2021-02-01T00:00:00.000+01:00
2,112383.03600000001,1,2021-03-01T00:00:00.000+01:00
3,77489.836,1,2021-04-01T00:00:00.000+02:00
4,195981.217,1,2021-05-01T00:00:00.000+02:00
5,179161.238,1,2021-06-01T00:00:00.000+02:00
6,194809.094,1,2021-07-01T00:00:00.000+02:00
7,177996.884,1,2021-08-01T00:00:00.000+02:00
8,131622.305,1,2021-09-01T00:00:00.000+02:00
9,145959.869,1,2021-10-01T00:00:00.000+02:00
10,108930.17499999999,1,2021-11-01T00:00:00.000+01:00
11,111996.76500000001,1,2021-12-01T00:00:00.000+01:00
