,value,percentage,datetime,type,magnitude
0,33604.108,0.7052287134949982,2021-01-01T00:00:00.000+01:00,Hidráulica,
1,32883.652,0.6625128420641035,2021-02-01T00:00:00.000+01:00,Hidráulica,
2,24006.9,0.609806017273938,2021-03-01T00:00:00.000+01:00,Hidráulica,
3,18199.794,0.5358230308413218,2021-04-01T00:00:00.000+02:00,Hidráulica,
4,17597.255,0.5365008998843677,2021-05-01T00:00:00.000+02:00,Hidráulica,
5,13223.311,0.4884147806061601,2021-06-01T00:00:00.000+02:00,Hidráulica,
6,10065.259,0.4357636696011012,2021-07-01T00:00:00.000+02:00,Hidráulica,
7,2833.783,0.19676554881065422,2021-08-01T00:00:00.000+02:00,Hidráulica,
8,5357.63,0.2741105737014285,2021-09-01T00:00:00.000+02:00,Hidráulica,
9,3268.006,0.1714581875606946,2021-10-01T00:00:00.000+02:00,Hidráulica,
10,20693.787,0.5494130785394,2021-11-01T00:00:00.000+01:00,Hidráulica,
11,45093.278,0.668464164464563,2021-12-01T00:00:00.000+01:00,Hidráulica,
12,4765.84,0.10001774818492437,2021-01-01T00:00:00.000+01:00,Eólica,
13,9074.002,0.18281554779607082,2021-02-01T00:00:00.000+01:00,Eólica,
14,7451.76,0.18928425108119915,2021-03-01T00:00:00.000+01:00,Eólica,
15,5379.714,0.15838501581608505,2021-04-01T00:00:00.000+02:00,Eólica,
16,4782.832,0.14581783761136324,2021-05-01T00:00:00.000+02:00,Eólica,
17,3419.318,0.1262955587139026,2021-06-01T00:00:00.000+02:00,Eólica,
18,2328.612,0.10081454537803344,2021-07-01T00:00:00.000+02:00,Eólica,
19,1485.593,0.10315310733188329,2021-08-01T00:00:00.000+02:00,Eólica,
20,4775.46,0.24432521101461352,2021-09-01T00:00:00.000+02:00,Eólica,
21,5284.029,0.2772302239831107,2021-10-01T00:00:00.000+02:00,Eólica,
22,7213.544,0.19151716484853246,2021-11-01T00:00:00.000+01:00,Eólica,
23,12319.492,0.18262453500071274,2021-12-01T00:00:00.000+01:00,Eólica,
24,91.306,0.0019161827748671175,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,113.972,0.002296214351001221,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,177.811,0.004516627208739828,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,222.155,0.006540500701082321,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,244.402,0.00745126969709419,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,213.546,0.007887511890125178,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,232.574,0.010069020548185249,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,233.561,0.016217458551259997,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,186.219,0.009527458395616403,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,186.187,0.009768429301342486,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,88.132,0.0023398749314388133,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,102.61,0.0015210938516314742,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,6093.836,0.12788758215303636,2021-01-01T00:00:00.000+01:00,Otras renovables,
37,6406.274,0.1290683527115958,2021-02-01T00:00:00.000+01:00,Otras renovables,
38,4349.544,0.11048399016939935,2021-03-01T00:00:00.000+01:00,Otras renovables,
39,6798.794,0.2001643758795178,2021-04-01T00:00:00.000+02:00,Otras renovables,
40,6706.936,0.20447945997639183,2021-05-01T00:00:00.000+02:00,Otras renovables,
41,6870.407,0.2537646076372269,2021-06-01T00:00:00.000+02:00,Otras renovables,
42,7134.66,0.3088867979409365,2021-07-01T00:00:00.000+02:00,Otras renovables,
43,6419.98,0.4457754485976604,2021-08-01T00:00:00.000+02:00,Otras renovables,
44,6471.388,0.331093389675013,2021-09-01T00:00:00.000+02:00,Otras renovables,
45,7027.933,0.36872534948772895,2021-10-01T00:00:00.000+02:00,Otras renovables,
46,6898.387,0.18314985259228656,2021-11-01T00:00:00.000+01:00,Otras renovables,
47,6829.31,0.1012379051933081,2021-12-01T00:00:00.000+01:00,Otras renovables,
48,3094.853,0.06494977339217382,2021-01-01T00:00:00.000+01:00,Residuos renovables,
49,1156.839,0.02330704307722863,2021-02-01T00:00:00.000+01:00,Residuos renovables,
50,3382.078,0.08590911426672354,2021-03-01T00:00:00.000+01:00,Residuos renovables,
