,value,percentage,datetime
0,436219.193,1,2021-01-01T00:00:00.000+01:00
1,293307.182,1,2021-02-01T00:00:00.000+01:00
2,301285.09500000003,1,2021-03-01T00:00:00.000+01:00
3,230821.69700000001,1,2021-04-01T00:00:00.000+02:00
4,292483.191,1,2021-05-01T00:00:00.000+02:00
5,211129.83000000002,1,2021-06-01T00:00:00.000+02:00
6,227261.477,1,2021-07-01T00:00:00.000+02:00
7,214096.72199999998,1,2021-08-01T00:00:00.000+02:00
8,190882.25900000002,1,2021-09-01T00:00:00.000+02:00
9,187232.347,1,2021-10-01T00:00:00.000+02:00
10,375081.776,1,2021-11-01T00:00:00.000+01:00
11,411387.61400000006,1,2021-12-01T00:00:00.000+01:00
