,Provincias,Ramas de actividad,periodo,Total
0,2,"A. Agricultura, ganadería, silvicultura y pesca",2021,884324.0
1,2,"A. Agricultura, ganadería, silvicultura y pesca",2020,768976.0
2,2,"A. Agricultura, ganadería, silvicultura y pesca",2019,791464.0
3,2,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1397006.0
4,2,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1194438.0
5,2,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1207915.0
6,2,C. - De las cuales: Industria manufacturera,2021,1018831.0
7,2,C. - De las cuales: Industria manufacturera,2020,910902.0
8,2,C. - De las cuales: Industria manufacturera,2019,918972.0
9,2,F. Construcción,2021,465911.0
10,2,F. Construcción,2020,415182.0
11,2,F. Construcción,2019,497842.0
12,2,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1559382.0
13,2,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1341669.0
14,2,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1646811.0
15,2,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1440261.0
16,2,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1392792.0
17,2,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1389258.0
18,2,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2091603.0
19,2,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2055063.0
20,2,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2153181.0
21,2,Valor añadido bruto total,2021,7838487.0
22,2,Valor añadido bruto total,2020,7168120.0
23,2,Valor añadido bruto total,2019,7686471.0
24,2,Impuestos netos sobre los productos,2021,825327.0
25,2,Impuestos netos sobre los productos,2020,687436.0
26,2,Impuestos netos sobre los productos,2019,788599.0
27,3,"A. Agricultura, ganadería, silvicultura y pesca",2021,547312.0
28,3,"A. Agricultura, ganadería, silvicultura y pesca",2020,645872.0
29,3,"A. Agricultura, ganadería, silvicultura y pesca",2019,576207.0
30,3,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3627964.0
31,3,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3166272.0
32,3,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3280477.0
33,3,C. - De las cuales: Industria manufacturera,2021,2916222.0
34,3,C. - De las cuales: Industria manufacturera,2020,2559700.0
35,3,C. - De las cuales: Industria manufacturera,2019,2686800.0
36,3,F. Construcción,2021,2556047.0
37,3,F. Construcción,2020,2436323.0
38,3,F. Construcción,2019,2867928.0
39,3,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,9851680.0
40,3,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,8362099.0
41,3,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,10227248.0
42,3,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,8929332.0
43,3,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,8549617.0
44,3,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,8710933.0
45,3,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,8216082.0
46,3,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,7846163.0
47,3,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,8226777.0
48,3,Valor añadido bruto total,2021,33728417.0
49,3,Valor añadido bruto total,2020,31006346.0
50,3,Valor añadido bruto total,2019,33889570.0
51,3,Impuestos netos sobre los productos,2021,3551318.0
52,3,Impuestos netos sobre los productos,2020,2973565.0
53,3,Impuestos netos sobre los productos,2019,3476923.0
54,4,"A. Agricultura, ganadería, silvicultura y pesca",2021,2443690.0
55,4,"A. Agricultura, ganadería, silvicultura y pesca",2020,2519276.0
56,4,"A. Agricultura, ganadería, silvicultura y pesca",2019,2400114.0
57,4,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1348695.0
58,4,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1302726.0
59,4,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1416242.0
60,4,C. - De las cuales: Industria manufacturera,2021,1020119.0
61,4,C. - De las cuales: Industria manufacturera,2020,1011494.0
62,4,C. - De las cuales: Industria manufacturera,2019,996328.0
63,4,F. Construcción,2021,723957.0
64,4,F. Construcción,2020,648214.0
65,4,F. Construcción,2019,774405.0
66,4,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,3793774.0
67,4,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3232834.0
68,4,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,4017874.0
69,4,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2816431.0
