,value,percentage,code_com,mes,year
0,3668893.328,1,4,1,2019
1,3152278.091,1,4,2,2019
2,3216356.36,1,4,3,2019
3,3029639.973,1,4,4,2019
4,3154123.467,1,4,5,2019
5,3181997.313,1,4,6,2019
6,3676269.543,1,4,7,2019
7,3786647.665,1,4,8,2019
8,3261926.084,1,4,9,2019
9,3143205.713,1,4,10,2019
10,3215694.404,1,4,11,2019
11,3383670.228,1,4,12,2019
12,957420.099,1,5,1,2019
13,859577.223,1,5,2,2019
14,931375.419,1,5,3,2019
15,861851.879,1,5,4,2019
16,901078.329,1,5,5,2019
17,887513.783,1,5,6,2019
18,947768.672,1,5,7,2019
19,918355.065,1,5,8,2019
20,880277.404,1,5,9,2019
21,883069.114,1,5,10,2019
22,905361.295,1,5,11,2019
23,875169.733,1,5,12,2019
24,755349.344,1,8742,1,2019
25,678572.401,1,8742,2,2019
26,738613.341,1,8742,3,2019
27,701144.535,1,8742,4,2019
28,724435.551,1,8742,5,2019
29,714689.013,1,8742,6,2019
30,765155.245,1,8742,7,2019
31,788634.096,1,8742,8,2019
32,752661.657,1,8742,9,2019
33,773780.358,1,8742,10,2019
34,734424.275,1,8742,11,2019
35,747518.318,1,8742,12,2019
36,376344.812,1,6,1,2019
37,335609.363,1,6,2,2019
38,363081.312,1,6,3,2019
39,358214.104,1,6,4,2019
40,358357.706,1,6,5,2019
41,334031.262,1,6,6,2019
42,349591.357,1,6,7,2019
43,344327.486,1,6,8,2019
44,341052.811,1,6,9,2019
45,347289.235,1,6,10,2019
46,356017.986,1,6,11,2019
47,324383.453,1,6,12,2019
48,1112346.134,1,7,1,2019
49,988724.576,1,7,2,2019
50,1039939.791,1,7,3,2019
51,931138.133,1,7,4,2019
52,975360.89,1,7,5,2019
53,1000327.159,1,7,6,2019
54,1152988.982,1,7,7,2019
55,1077388.382,1,7,8,2019
56,931369.774,1,7,9,2019
57,944877.518,1,7,10,2019
58,970712.128,1,7,11,2019
59,1010042.555,1,7,12,2019
60,1304599.661,1,8,1,2019
61,1139791.713,1,8,2,2019
62,1205850.157,1,8,3,2019
63,1138940.089,1,8,4,2019
64,1168948.401,1,8,5,2019
65,1142368.133,1,8,6,2019
66,1245721.68,1,8,7,2019
67,1164281.486,1,8,8,2019
68,1097241.152,1,8,9,2019
69,1160622.707,1,8,10,2019
70,1207924.771,1,8,11,2019
71,1205933.214,1,8,12,2019
72,4346165.016,1,9,1,2019
73,3805809.279,1,9,2,2019
74,3885658.35,1,9,3,2019
75,3641927.976,1,9,4,2019
76,3724228.479,1,9,5,2019
77,3773188.661,1,9,6,2019
78,4446351.053,1,9,7,2019
79,3978863.274,1,9,8,2019
