,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
0,2,0-15 años,Españoles,Hombres,2021,27304.0
1,2,0-15 años,Españoles,Hombres,2020,27979.0
2,2,0-15 años,Españoles,Hombres,2019,28513.0
3,2,0-15 años,Españoles,Mujeres,2021,25547.0
4,2,0-15 años,Españoles,Mujeres,2020,25953.0
5,2,0-15 años,Españoles,Mujeres,2019,26515.0
6,2,0-15 años,Extranjeros,Hombres,2021,2452.0
7,2,0-15 años,Extranjeros,Hombres,2020,2445.0
8,2,0-15 años,Extranjeros,Hombres,2019,2278.0
9,2,0-15 años,Extranjeros,Mujeres,2021,2248.0
10,2,0-15 años,Extranjeros,Mujeres,2020,2191.0
11,2,0-15 años,Extranjeros,Mujeres,2019,2157.0
12,2,0-15 años,% Extranjeros,Hombres,2021,8.24
13,2,0-15 años,% Extranjeros,Hombres,2020,8.04
14,2,0-15 años,% Extranjeros,Hombres,2019,7.4
15,2,0-15 años,% Extranjeros,Mujeres,2021,8.09
16,2,0-15 años,% Extranjeros,Mujeres,2020,7.78
17,2,0-15 años,% Extranjeros,Mujeres,2019,7.52
18,2,16-64 años,Españoles,Hombres,2021,118339.0
19,2,16-64 años,Españoles,Hombres,2020,118606.0
20,2,16-64 años,Españoles,Hombres,2019,119164.0
21,2,16-64 años,Españoles,Mujeres,2021,114163.0
22,2,16-64 años,Españoles,Mujeres,2020,114793.0
23,2,16-64 años,Españoles,Mujeres,2019,115270.0
24,2,16-64 años,Extranjeros,Hombres,2021,11655.0
25,2,16-64 años,Extranjeros,Hombres,2020,11488.0
26,2,16-64 años,Extranjeros,Hombres,2019,10695.0
27,2,16-64 años,Extranjeros,Mujeres,2021,9637.0
28,2,16-64 años,Extranjeros,Mujeres,2020,9436.0
29,2,16-64 años,Extranjeros,Mujeres,2019,8781.0
30,2,16-64 años,% Extranjeros,Hombres,2021,8.97
31,2,16-64 años,% Extranjeros,Hombres,2020,8.83
32,2,16-64 años,% Extranjeros,Hombres,2019,8.24
33,2,16-64 años,% Extranjeros,Mujeres,2021,7.78
