,energia (MWh),type,code_com,mes,year,porcentaje_generacion
0,25288.605,Hidráulica,4,1,2019,0.02952
1,33933.35,Hidráulica,4,2,2019,0.03078
2,35913.0,Hidráulica,4,3,2019,0.02964
3,44050.848,Hidráulica,4,4,2019,0.04134
4,88535.452,Hidráulica,4,5,2019,0.0685
5,92464.391,Hidráulica,4,6,2019,0.07917
6,91236.63,Hidráulica,4,7,2019,0.07928
7,80161.437,Hidráulica,4,8,2019,0.06657
8,40095.141,Hidráulica,4,9,2019,0.0451
9,21984.146,Hidráulica,4,10,2019,0.02459
10,21611.63,Hidráulica,4,11,2019,0.02063
11,33252.448,Hidráulica,4,12,2019,0.033
12,547209.843,Eólica,4,1,2019,0.6387
13,714535.96,Eólica,4,2,2019,0.64811
14,705153.705,Eólica,4,3,2019,0.58207
15,607656.868,Eólica,4,4,2019,0.57026
16,612356.002,Eólica,4,5,2019,0.47376
17,454884.57,Eólica,4,6,2019,0.3895
18,456346.421,Eólica,4,7,2019,0.39656
19,495339.705,Eólica,4,8,2019,0.41136
20,375841.662,Eólica,4,9,2019,0.42273
21,430931.821,Eólica,4,10,2019,0.48193
22,764217.456,Eólica,4,11,2019,0.72959
23,684672.055,Eólica,4,12,2019,0.67949
24,100175.137,Solar fotovoltaica,4,1,2019,0.11692
25,119956.735,Solar fotovoltaica,4,2,2019,0.10881
26,147364.111,Solar fotovoltaica,4,3,2019,0.12164
27,132367.448,Solar fotovoltaica,4,4,2019,0.12422
28,172457.989,Solar fotovoltaica,4,5,2019,0.13342
29,166634.356,Solar fotovoltaica,4,6,2019,0.14268
30,175669.523,Solar fotovoltaica,4,7,2019,0.15265
31,182499.378,Solar fotovoltaica,4,8,2019,0.15156
32,169840.831,Solar fotovoltaica,4,9,2019,0.19103
33,174440.057,Solar fotovoltaica,4,10,2019,0.19508
34,101305.46,Solar fotovoltaica,4,11,2019,0.09672
35,120605.521,Solar fotovoltaica,4,12,2019,0.11969
36,74526.679,Solar térmica,4,1,2019,0.08699
